key,Source,Translated
﻿Common_Item,Items
Decoration_151042,「Foundation Slab Corner」
Decoration_151043,「Foundation Steps」
Decoration_151044,「screen」
Equip_None_Head,No Hats
Equip_None_Body,No Clothes
Equip_None_Weapon,No Weapons
Equip_None_Hidden_Weapon,No Concealed Weapons
Equip_None_Pants,No Pants
Equip_Detail,Gear Details
Equip_All_Head,All\\nHats
Equip_All_Body,All\\nClothes
Equip_All_Arm,All\\nPants
Equip_All_Hand,All\\nWeapons
Equip_All_Weapon,All\\nConcealed Weapons
Equip_All_Hidden_Weapon,All\\n? ?
Equip_All_Leg,All\\n? ?
Equip_All_Foot,All\\n? ?
Equip_All,All\\nGear
Equip_Info,Character Gear
Equip_Cur_Equip,Current Gear
Equip_Prop_Info,Character
Equip_Destiny_Info,Karma
Equip_Rarity_0,Crude
Equip_Rarity_1,Refined
Equip_Rarity_2,Legendary
Craft_Rarity_Desc,Crude {0}% Refined {1}% Legendary {2}%
Equip_On_Part_0,<JingTong_1>Headwear</>
Equip_On_Part_1,<JingTong_1>Topwear</>
Equip_On_Part_2,<JingTong_1>Bottomwear</>
Equip_On_Part_3,<JingTong_1>Backwear</>
Equip_On_Part_4,<JingTong_1>Carry</>
Equip_On_No_Part,Rags
World_Equip_Part_0,Hat:{0}
World_Equip_Part_1,Wear:{0}
World_Equip_Part_2,Pants:{0}
World_Equip_Part_3,WPN:{0}
World_Equip_Part_4,CWPN:{0}
Equip_Name_60001,「Hairband」
Equip_Name_60002,「Hawk Hat」
Equip_Name_60003,「Green Silk Hat」
Equip_Name_60004,「Vine Hat」
Equip_Name_60005,「Orohat」
Equip_Name_60006,「Evil Hat」
Equip_Name_60007,「Crimson Hat」
Equip_Name_60008,「Hard Bamboo Hat」
Equip_Name_60009,「Green Cloud Hat」
Equip_Name_60010,「Treasure Hat」
Equip_Name_60900,「Harmony」
Equip_Name_60901,「Purple Chi From East」
Equip_Name_60902,「Wisdomness」
Equip_Name_60903,「Xuanwu」
Equip_Name_60904,「Divine Hat」
Equip_Name_60800,「Phantom Crown」
Equip_Name_61001,「Green Coat」
Equip_Name_61002,「Hawk Gown」
Equip_Name_61003,「Green Silk Gown」
Equip_Name_61004,「Vine Gown」
Equip_Name_61005,「Orogown」
Equip_Name_61006,「Evil Gown」
Equip_Name_61007,「Crimson Coat」
Equip_Name_61008,「Traveler’s Gown」
Equip_Name_61009,「Black Armor」
Equip_Name_61010,「Green Cloud Gown」
Equip_Name_61011,「Treasure Coat」
Equip_Name_61900,「Soft Armor」
Equip_Name_61901,「Crimson Alligator」
Equip_Name_61902,「Soaring Cloud」
Equip_Name_61903,「Divine Silk Gown」
Equip_Name_61904,「Golden Archaea Spider」
Equip_Name_61800,「Phantom Clothes」
Equip_Name_62001,「Green Pants」
Equip_Name_62002,「Hawk Pants」
Equip_Name_62003,「Green Silk Pants」
Equip_Name_62004,「Vine Pants」
Equip_Name_62005,「Oropants」
Equip_Name_62006,「Evil Pants」
Equip_Name_62007,「Crimson Pants」
Equip_Name_62008,「Traveler’s Pants」
Equip_Name_62009,「Black Chausses」
Equip_Name_62010,「Green Cloud Pants」
Equip_Name_62011,「Treasure Pants」
Equip_Name_62900,「Walk In Divinity」
Equip_Name_62901,「Spiritual Cat」
Equip_Name_62902,「Lame Rakshasa」
Equip_Name_62903,「Samadhi」
Equip_Name_62800,「Phantom Pants」
Equip_Name_63001,「Peach Wood Rod」
Equip_Name_63002,「Greatsword」
Equip_Name_63003,「Iron Saber」
Equip_Name_63004,「Mount Hua Sword」
Equip_Name_63005,「Evil Sword」
Equip_Name_63006,「Lunasword」
Equip_Name_63007,「Bright Wind Sword」
Equip_Name_63008,「Eyebrow stick」
Equip_Name_63009,「Steel Iron Rod」
Equip_Name_63010,「Killing Stick」
Equip_Name_63011,「Wine Staff」
Equip_Name_63012,「Hanging Green Staff」
Equip_Name_63013,「Polygonatum stick」
Equip_Name_63014,「Bonebreaker Hammer」
Equip_Name_63015,「Skull Crusher」
Equip_Name_63016,「Mace Hammer」
Equip_Name_63900,「Dragon Conqueror」
Equip_Name_63901,「Bagua Saber」
Equip_Name_63902,「Lihe Sword」
Equip_Name_63903,「Fire Slayer」
Equip_Name_63904,「Snow Slayer」
Equip_Name_63905,「Tai'e」
Equip_Name_63906,「Purple Bamboo」
Equip_Name_64001,「Peach Wood Dart」
Equip_Name_64002,「Coin Dart」
Equip_Name_64003,「Iron Dart」
Equip_Name_64004,「Iron Fork」
Equip_Name_64005,「Iron Arrow」
Equip_Name_64006,「Iron Thorn」
Equip_Name_64007,「Plum Bloom Needle」
Equip_Name_64900,「Jade Sting」
Equip_Name_64901,「Cloudcracker」
Equip_Name_64902,「Thundercracker」
Equip_Name_64903,「Stormcracker」
Equip_Name_64904,「Arrow of Joy」
Equip_Name_64905,「Lotus of Sorrow」
Prop_max_zhenqi,Maximum Chi
Prop_Desc_Minus, -
Prop_Desc_Add, +
Prop_Desc_100,Max Vigor
Prop_Desc_101,Max Load
Prop_Desc_102,Palm ATK
Prop_Desc_103,Fist ATK
Prop_Desc_104,Kick ATK
Prop_Desc_105,Weapon ATK
Prop_Desc_106,Concealed Weapon ATK
Prop_Desc_107,Move ATK
Prop_Desc_116,Move Crit
Prop_Desc_117,Move Break
Prop_Desc_118,Gear Basic Stats
Prop_Desc_120,Moves Per Turn
Prop_Desc_121,MSPD
Prop_Desc_123,Value of items begged
Prop_Desc_124,Pray Success Rate
Prop_Desc_125,Chi
Prop_Desc_126,Load
Prop_Desc_129,Max Health
Prop_Desc_130,Total Palm Moves
Prop_Desc_131,Total Fist Moves
Prop_Desc_132,Total Kick Moves
Prop_Desc_133,Total Weapon Moves
Prop_Desc_134,Total Concealed Weapon Moves
Prop_Desc_135,All Moves
Prop_Desc_136,Chi of the Moon Level
Prop_Desc_137,Chi of the Sun Level
Prop_Desc_138,Chi of Venom Level
Prop_Desc_139,Chi of Harmony Level
Prop_Desc_140,Meridian size
Prop_Desc_222,Range Sensed
Prop_Desc_300,Unable to beg for mercy
Prop_Desc_301,Crit DMG taken
Prop_Desc_302,Crit damage caused by moves
Prop_Desc_303,DMG taken
Prop_Desc_304,"The higher the opponent’s 「<EqptKeyStyle>Heat</>」 stacks,the higher the Move Crit"
Prop_Desc_308,Luck
Prop_Desc_309,DMG dealt to Huanmos
Prop_Desc_310,DMG dealt to the opponent with less Coins
Prop_Desc_311,DMG dealt to the opponent with more Coins
Prop_Desc_312,Healing effect taken
Prop_Desc_314,Faint Duration
Prop_Desc_315,Palm DMG taken
Prop_Desc_316,Fist DMG taken
Prop_Desc_317,Kick DMG taken
Prop_Desc_318,Weapon DMG taken
Prop_Desc_319,Concealed Weapon DMG taken
Prop_Desc_325,Immune to 「<EqptKeyStyle>Poison Gas</>」
Prop_Desc_326,Immune to 「<EqptKeyStyle>Heat</>」
Prop_Desc_327,Immune to 「<EqptKeyStyle>Cold</>」
Prop_Desc_328,Immune to 「<EqptKeyStyle>Drunk</>」
Prop_Desc_329,Immune to 「<EqptKeyStyle>Wounded</>」
Prop_Desc_330,Immune to 「<EqptKeyStyle>Acupoint Block</>」
Prop_Desc_331,DMG dealt by Skills
Prop_Desc_333,「<EqptKeyStyle>Heat</>」 DMG taken
Prop_Desc_334,「<EqptKeyStyle>Cold</>」 DMG taken
Prop_Desc_335,Counter Strike
Prop_Desc_336,Inflicts Blind when casting Skill
Prop_Desc_337,Acquire SPD
Prop_Desc_338,Obtain martial arts experience
Prop_Desc_339,Trap DMG taken
Prop_Desc_340,Consumption of production materials
Prop_Desc_341,"When using Medicine,Healing"
Prop_Desc_342,DMG dealt by Palm Moves
Prop_Desc_344,DMG dealt by Fist Moves
Prop_Desc_346,DMG dealt by Kick Moves
Prop_Desc_348,DMG dealt by Weapon Move
Prop_Desc_350,DMG dealt by Concealed Weapon Moves
Prop_Desc_352,DMG dealt by Palm Skills
Prop_Desc_354,DMG dealt by Fist Skills
Prop_Desc_356,DMG dealt by Kick Skills
Prop_Desc_358,DMG dealt by Weapon Skills
Prop_Desc_360,DMG dealt by Concealed Weapon Skills
Prop_Desc_362,This person is more skilled in palm skills
Prop_Desc_363,This person is more skilled in fist skills
Prop_Desc_364,This person is more skilled in leg skills
Prop_Desc_365,This person is more skilled in weapons
Prop_Desc_366,This person is more skilled in hidden weapons
Prop_Desc_367,Palm Moves required to activate the Skill
Prop_Desc_368,Fist Moves required to activate the Skill
Prop_Desc_369,Kick Moves required to activate the Skill
Prop_Desc_370,Weapon Moves required to activate the Skill
Prop_Desc_371,Concealed Weapon Moves required to activate the Skill
Prop_Desc_372,Gear’s Sale Price
Prop_Desc_373,Avoid a Defeat
Prop_Desc_374,All Prices
Prop_Desc_375,<EqptNumStyle>30%</> chance of stealing money with Concealed Weapon Moves
Prop_Desc_376,Material Acquisition Efficiency
Prop_Desc_377,Number of Resists against Move Counters in fights
Prop_Desc_378,Get Broken
Prop_Desc_379,Palm can be seen as Weapon
Prop_Desc_380,Bravery
Prop_Desc_381,Fist can be seen as Weapon
Prop_Desc_382,Inflicts 「Leg Disability」 when casting Skill
Prop_Desc_383,Gains 「Spike」 upon entering battle
Prop_Desc_384,Restores Vigor each turn
Prop_Desc_385,Max 「<EqptKeyStyle>Cold</>」 Stacks
Prop_Desc_386,「<EqptKeyStyle>Cold</>」 Fading SPD
Prop_Desc_387,Max 「<EqptKeyStyle>Heat</>」 Stacks
Prop_Desc_388,「<EqptKeyStyle>Heat</>」 Fading SPD
Prop_Desc_389,Poison Gas Stacks inflicted by Vicious Hand
Prop_Desc_390,Heat Stacks inflicted by Flame Saber
Prop_Desc_391,DMG dealt by Frost Sword
Prop_Desc_392,DMG dealt by Beast Wave
Prop_Desc_393,DMG dealt by Ordeal Sigil
Prop_Desc_394,DMG dealt by Bionic:Snake
Prop_Desc_395,DMG dealt by Snow-melting Sword
Prop_Desc_396,DMG dealt by Nirvana Saber
Prop_Desc_397,DMG dealt by Bionic:Horse
Prop_Desc_398,Kick can be seen as Weapon
Prop_Desc_399,Palm can be seen as Concealed Weapon
Prop_Desc_400,Fist can be seen as Concealed Weapon
Prop_Desc_401,Kick can be seen as Concealed Weapon
Prop_Desc_402,Enables normal movement for Leg Disability
Prop_Desc_403,Max 「<EqptKeyStyle>Poison Gas</>」 Stacks
Prop_Desc_404,「<EqptKeyStyle>Poison Gas</>」 Fading SPD
Prop_Desc_405,"Fading SPD of 「<EqptKeyStyle>Cold</>」,「<EqptKeyStyle>Heat</>」,「<EqptKeyStyle>Poison Gas</>」,and 「<EqptKeyStyle>Drunk</>」"
Prop_Desc_406,Concealed Weapon Moves gain 「Crit」
Prop_Desc_407,Concealed Weapon Moves inflict 「Heat」
Prop_Desc_408,Concealed Weapon Moves inflict 「Poison Gas」
Prop_Desc_409,Concealed Weapon Moves inflict 「Cold」
Prop_Desc_410,Number of items stolen
Prop_Desc_411,Lockpick SPD
Prop_Desc_1000,Inflicts <EqptNumStyle>{0}</> 「<EqptKeyStyle>Poison Gas</>」 to DMG dealer When wounded
Prop_Desc_1001,Restores <EqptNumStyle>5</> Vigor Per <EqptNumStyle>5</> secs
Prop_Desc_1002,"The lower the Load,the higher the Skill DMG"
Prop_Desc_1003,"The higher the Load,the higher the Move DMG"
Prop_Desc_1004,Inflicts <EqptNumStyle>1</> 「<EqptKeyStyle>Heat</>」 and ignores Resistance When fighting
Prop_Desc_1005,Inflicts <EqptNumStyle>1</> 「<EqptKeyStyle>Cold</>」 and ignores Resistance When fighting
Prop_Desc_1006,"The higher Chi,the higher DMG dealt by Weapon Move"
Prop_Desc_1007,"The higher Spirits,the higher Concealed Weapon DMG"
Prop_Desc_1008,"The lower  Spirits,the higher  Concealed Weapon DMG"
Prop_Desc_1009,Restores <EqptNumStyle>5</> Vigor Per <EqptNumStyle>10</> DMG dealt
Prop_Desc_1010,Inflicts <EqptNumStyle>5</> 「<EqptKeyStyle>Poison Gas</>」 Per <EqptNumStyle>100</> DMG dealt
Prop_Desc_1011,Able to glide in the air and ignore plunge DMG
Prop_Desc_1012,Improves Technique effects
Skill_All,All\\nSkills
Skill_Cur,Current\\nSkills
MyMoves,My Moves
equp_or_unequip,Equip/Remove
Moves_Desc,{0}\\n<TipGray>Counters{1}</>
movesNumDesc_40000,<TipGray>Skill increases the number of Moves in deck</>\\n<Green>Palm Moves</><TipGray>:</> <Red>{0}</>
movesNumDesc_40001,<TipGray>Skill increases the number of Moves in deck</>\\n<Green>Fist Moves</><TipGray>:</> <Red>{0}</>
movesNumDesc_40002,<TipGray>Skill increases the number of Moves in deck</>\\n<Green>Kick Moves</><TipGray>:</> <Red>{0}</>
movesNumDesc_40003,<TipGray>Skill increases the number of Moves in deck</>\\n<Green>Weapon Moves</><TipGray>:</> <Red>{0}</>
movesNumDesc_40004,<TipGray>Skill increases the number of Moves in deck</>\\n<Green>Concealed Weapon Moves</><TipGray>:</> <Red>{0}</>
draw_library_name,<White>Moves Not Released</>
discard_library_name,<White>Moves Released</>
Behavior_Name_1,Move
Behavior_Name_2,Battle Turn
Behavior_Name_100,Chop Wood
Behavior_Name_101,Gather Herbs
end_btn_name_100,Stop Chopping
end_btn_name_102,Get Up
end_btn_name_103,Get Up 「have a bath」
end_btn_name_105,Stop Gathering
end_btn_name_106,Get Up 「drink wine」
end_btn_name_108,Stop Mining
end_btn_name_116,Quit Begging
end_btn_name_143,Dismount
end_btn_name_156,End Destruction
end_btn_name_157,Quit Sneaking
Btn_Name_1,Pray for Rain
Btn_Name_2,Pray for Heavy Snow
Btn_Name_3,Pray for Sunny Day
Btn_Name_4,Pray for Marriage
Btn_Name_5,Pray for Wealth
Btn_Name_6,Burn Incense
Btn_Name_7,Invest
Btn_Name_8,Steal Donation
Btn_Name_9,Check
Btn_Name_10,Sit
Btn_Name_11,Practice Kungfu
Btn_Name_12,Drink:Wine
Btn_Name_13,Drink:Luxury Wine
Btn_Name_14,Rest
Btn_Name_15,Snuff
Btn_Name_16,Kindle
Btn_Name_17,Play at will
Btn_Name_18,Ignite
Btn_Name_19,Have a Bath
Btn_Name_20,Listen to Melody
Btn_Name_21,Wait for Healing
Btn_Name_22,Chop
Btn_Name_23,Stop Playing Music
Btn_Name_24,Play the score
Btn_Name_25,Play The Proud Wanderer
Btn_Name_26,Gather
Btn_Name_27,Mine
Btn_Name_28,Sit Down
Btn_Name_29,Treasure Hunt
Btn_Name_32,Craft Gear
Btn_Name_33,Destroy
Btn_Name_34,Hide
Btn_Name_35,Pick
Btn_Name_36,Recycle
Btn_Name_37,Enter Cage
Btn_Name_38,Lockpicking
Btn_Name_39,Plant
Btn_Name_40,Reap
Btn_Name_41,Acquire
Btn_Name_42,Plant Ramie
Btn_Name_43,Dig
Btn_Name_44,Make Toxin
Btn_Name_45,Arrest
Btn_Name_46,Make Potion
Btn_Name_47,Weave Gear
Btn_Name_48,Craft Concealed Weapons
Btn_Name_50,Treasure Dig
Btn_Name_51,Assist
Btn_Name_52,Assist:{0}
Btn_Name_53,Start Kungfu Contest
Btn_Name_54,Check the martial arts meeting time
Btn_Name_55,Buy
Btn_Name_56,Steal
Btn_Name_57,Open Station
Btn_Name_58,Plant Licorice
Btn_Name_59,Plant San Qi
Btn_Name_60,Plant May-lily
Btn_Name_61,Plant Snowfairy Lily
Btn_Name_62,Plant Heartbreak Grass
Btn_Name_63,Plant Drunken Grass
Btn_Name_64,Cooking
Btn_Name_66,Close Cage
Btn_Name_67,Pay materials
Btn_Name_68,Place on Bed
Btn_Name_70,Place in Spring
Btn_Name_71,Have a Bath
Btn_Name_72,Drink Wine
Btn_Name_73,Listen to Melody
Btn_Name_74,Cheers!
Btn_Name_75,Take Post
Btn_Name_76,Leave Post
Btn_Name_78,View
Btn_Name_79,End Hiding
Btn_Name_80,Occupy
Btn_Name_81,worship
Btn_Name_82,fetching water
Btn_Name_83,Captive
Btn_Name_84,fertilization
Btn_Name_85,copy
Btn_Name_86,watering
Btn_Name_87,Break the Prison
Btn_Name_88,Open the Gate of Heaven
Btn_Name_10000,More
Btn_Name_10001,Leave
Btn_Name_10002,Back
Btn_Name_20001,Character
Btn_Name_20002,Items
Btn_Name_20003,Relations
Btn_Name_20004,Socialize
Btn_Name_20005,System
Btn_Name_20006,Bio
Btn_Name_20007,End Climb
Btn_Name_20008,End Kungfu Contest 「Avoid crash」
Btn_Name_20009,splashing water
Btn_Name_20010,End of use of hidden weapons
Btn_Name_20011,jump over
Btn_Name_20012,Subordinate Management
Btn_Name_21000,Gear
Btn_Name_21001,Skills
Btn_Name_21002,Meridians
Btn_Name_21003,Abilities
Btn_Name_21004,Meditate
Btn_Name_21005,Treasure Hunt
Btn_Name_21006,Hawk Eye
Btn_Name_21007,Sneak
Btn_Name_21008,Stop Sneaking
Btn_Name_21009,Stop Hawk Eye
Btn_Name_21010,Beg
Btn_Name_21011,Stop Following
Btn_Name_21012,Release
Btn_Name_21013,Release「{0}」
Btn_Name_21014,Take off Midnight Robes
Btn_Name_30000,Motion
Btn_Name_30001,Request
Btn_Name_30002,Assist
Btn_Name_30003,Talk
Btn_Name_30005,Put Down
Btn_Name_31000,Exchange
Btn_Name_31001,Battle
Btn_Name_31002,Give gifts
Btn_Name_31003,Join Sect
Btn_Name_31004,Quit Sect
Btn_Name_31005,feeding
Btn_Name_31006,Spar
Btn_Name_31007,Buried in peace
Btn_Name_31008,Wake up
Btn_Name_31009,Follow
Btn_Name_31010,Follow Me
Btn_Name_31011,Please Leave
Btn_Name_31012,Loot
Btn_Name_31013,Commission
Btn_Name_31014,Cure Ailment
Btn_Name_31015,Learn
Btn_Name_31016,Deprive Kungfu
Btn_Name_31017,Use Skill
Btn_Name_31018,Carry
Btn_Name_31019,Take Relic
Btn_Name_31020,Check relationship
Btn_Name_31021,Switching Stars and Fighting
Btn_Name_31022,Skills
Btn_Name_31023,Inner Kungfu
Btn_Name_31024,Abilities
Btn_Name_31025,Visit
Btn_Name_31026,{0}
Btn_Name_31027,Explore Life
Btn_Name_31028,Submit Quest
Btn_Name_31031,Eagle 「Track」
Btn_Name_31032,Mark as Enmity
Btn_Name_31033,Invite to Join Sect
Btn_Name_31034,Challenge
Btn_Name_31035,Poison
Btn_Name_31036,Become Brothers
Btn_Name_31037,Become Partners
Btn_Name_31038,Teach
Btn_Name_31039,Use snakes to poison
Btn_Name_31040,Use snakes to open locks
Btn_Name_31045,Follow Me
Btn_Name_31046,Invite to Join Sect
Btn_Name_31047,New Commission
Btn_Name_31048,Quest
Btn_Name_31050,Cancel invitation
Btn_Name_31051,Offer Money
Btn_Name_32000,How to Join Sect
Btn_Name_32001,Who’s the most powerful one?
Btn_Name_32002,Do you know where to find treasure?
Btn_Name_32003,When will the Kungfu Contest begin?
Btn_Name_32004,How to cure Ailment?
Btn_Name_32005,How to make money?
Btn_Name_32006,How to become invincible?
Btn_Name_32007,How to acquire Qinggong (Guru)?
Btn_Name_32008,Your Likes And Dislikes
Btn_Name_40000,Battle
Btn_Name_40001,Mount
Btn_Name_40002,Dismount
Btn_Name_50000,「Hall」
Btn_Name_50001,「Residence」
Btn_Name_50002,「Warehouse」
Btn_Name_50003,「Training Room」
Btn_Name_50004,「Clinic」
Btn_Name_50005,「Spring」
Btn_Name_50006,「Smithy」
Btn_Name_50007,「Tavern」
Btn_Name_50008,「Langya Pavilion」
Btn_Name_50009,「Music House」
Btn_Name_50010,「Fabric Shop」
Btn_Name_50011,「Stable」
Btn_Name_50012,「Beast Fence」
Btn_Name_50013,「Life-death Pool」
Btn_Name_50014,「Golden Crow Pool」
Btn_Name_50015,「Rushing Stream Pavilion」
Btn_Name_50016,「Dartfield」
Btn_Name_50017,「Phoenix's Aura」
Btn_Name_50018,「Jail」
Btn_Name_50019,「City Guardian Temple」
Btn_Name_50020,「Snow Walk Platform」
Btn_Name_50021,「Village」
Btn_Name_50022,「Bandit Camp」
Btn_Name_50024,[Sect banner]
Btn_Name_60000,Open Door
Btn_Name_60001,Build
Btn_Name_60002,Lockpicking
Btn_Name_60003,Dismantle
Btn_Name_60004,Destroy
Btn_Name_60005,Rename
Btn_Name_60006,Set as private
Btn_Name_60007,Set as public
Btn_Name_60008,Repair Building
Btn_Name_60009,Knock on the door
Btn_Name_60010,Detain
Btn_Name_60011,Rebuild
Btn_Name_60013,Inquire about purchase
Btn_Name_70000,Acquire
Btn_Name_70001,Skip
Exit_91004,Quit Sneaking
Btn_Name_80000,Enter Miniworld
Btn_Name_80001,Returned to Karma
Btn_Name_80002,Settings,ตั้งค่า
Btn_Name_80003,Close Game,ปิดเกม
Btn_Name_80004,Randomize Look
Btn_Name_90000,Use Vicious Hand
Btn_Name_90001,Use Flame Saber
Btn_Name_90002,Use Arctic Palm
Btn_Name_90003,Use Wine-drinking Song
Btn_Name_90004,Use Beast Wave
Btn_Name_90005,Use Drink and Sing
Btn_Name_90006,Use Soultaker’s Song
Btn_Name_90007,Use Spider Hand
Btn_Name_90008,Use Tortoise Fist
Btn_Name_90009,Use Acupoint-blocking Hand
Btn_Name_91000,Tune Gong
Btn_Name_91001,Tune Shang
Btn_Name_91002,Tune Jue
Btn_Name_91003,Tune Zhi
Btn_Name_91004,Tune Yu
Btn_Name_Strun_Disable,{0} <MgRed>needs [{1}] to reach {2}</>
strun_desc_0,Music EXP +1
strun_desc_1,"Requires Music:Expert. Flows gracefully,gentle as Earth,mother of all beings. Restores nearby characters’ mood and greatly increases Admire. Music EXP +2."
strun_desc_2,"Requires Music:Veteran. Carries a hint of sorrow,but not strained. Nearby characters feel a touch of Sympathy. Music EXP +3."
strun_desc_3,Requires Music:Master. Depicts a vibrant spring brimming with life. Restores Vigor and cures Ailments for nearby characters. Music EXP +4.
strun_desc_4,"Requires Music:Guru. Upbeat and lively,but not overly charged. Technique and Move EXP increase over time for nearby characters. Music EXP +5"
strun_desc_5,Requires Music:Sage. Lulls listeners into dreams with its soothing melody.
Btn_Name_100000,Practice Kungfu:Technique Sage
Btn_Name_400000,Obtain all Skills 「cheat」
Btn_Name_500000,Expand new area
Item_Name_80000,「Coin」
Item_Name_80001,「Wood」
Item_Name_80002,「Charcoal」
Item_Name_80003,「Stone Chunk」
Item_Name_80004,「Iron Chunk」
Item_Name_80005,「Copper Chunk」
Item_Name_80006,「Wild Grass」
Item_Name_80007,「Licorice」
Item_Name_80008,「San Qi」
Item_Name_80009,「May-lily」
Item_Name_80010,「Silver」
Item_Name_80011,「Ramie」
Item_Name_80012,「Drunken Peach Blossom」
Item_Name_80013,「Mandala」
Item_Name_80014,「Warm Jade」
Item_Name_80015,「Scattered Silver」
Item_Name_80016,「Lampworm」
Item_Name_80017,「Bloodworm」
Item_Name_80018,「Loveworm」
Item_Name_80019,「Deathworm」
Item_Name_80020,「Refined Iron」
Item_Name_80021,「Red Copper」
Item_Name_80022,「Pinecone」
Item_Name_80023,「Plum」
Item_Name_80024,「Flint」
Item_Name_80025,「Fine Flax」
Item_Name_80026,「Silk」
Item_Name_80027,「Venom」
Item_Name_80028,「Lizard Meat」
Item_Name_80029,「Black Serpent Meat」
Item_Name_80030,「Black Serpent Roe」
Item_Name_80031,「Snake Bile」
Item_Name_80032,「Maple Bark」
Item_Name_80033,「Aspen Resin」
Item_Name_80034,「Feather」
Item_Name_80035,「Bone」
Item_Name_80036,「Hide」
Item_Name_80037,「Golden Fang」
Item_Name_80038,「Snowfairy Lily」
Item_Name_80039,「Heartbreak Grass」
Item_Name_80040,「Drunken Grass」
Item_Name_91000,「Basket」
Item_Name_91001,「Anesthetic Gas」
Item_Name_91002,「Wooden Fence」
Item_Name_91003,[Stone plate]
Item_Name_91004,「Disguise Haystack」
Item_Name_91005,「Astringent」
Item_Name_91006,「Simple Trap」
Item_Name_91007,「Cage」
Item_Name_91008,「Flint」
Item_Name_91009,「Wine Jar」
Item_Name_91010,「Anti-poison Plaster」
Item_Name_91011,「Chi Refill Plaster」
Item_Name_91012,「Meat」
Item_Name_91013,「Roasted Meat 「Grade F」」
Item_Name_91014,「Overcooked Meat」
Item_Name_91015,「Poison」
Item_Name_91016,「Broken Bowl」
Item_Name_91017,「Marrow Refining Pill」
Item_Name_91018,「Great Return Pill」
Item_Name_91019,「Placeholder」
Item_Name_91020,「Egg」
Item_Name_91021,「Poo」
Item_Name_91022,「Monkey’s Wine」
Item_Name_91023,「Monkey’s Sweet Rice:Grade E」
Item_Name_91024,「Sauteed Fruit:Grade E」
Item_Name_91025,「Frozen Fruit:Grade E」
Item_Name_91026,「Braised Venom Meat:Grade E」
Item_Name_91027,「Drunken Delight:Grade E」
Item_Name_91028,「Octoped Pyrobeef Soup:Grade D」
Item_Name_91029,「Frosted Dumplings:Grade D」
Item_Name_91030,「Valve Egg:Inflate:Grade D」
Item_Name_91031,「Valve Egg:Deflate:Grade D」
Item_Name_91032,「Divine Soar Stew:Grade C」
Item_Name_91033,「Smart Egg Drop Soup:Grade C」
Item_Name_91034,「Cosmos Spicy Wonton:Grade B」
Item_Name_91035,「Snow Dragon Congee:Grade B」
Item_Name_91036,「Dragon Snake Casserole:Grade B」
Item_Name_91037,「Unfulfilled Destiny:Grade A」
Item_Name_91038,「Might Pellet」
Item_Name_91039,「Vajra Pellet」
Item_Name_91040,「Gale Powder」
Item_Name_91041,「Meridian Shift Pill」
Item_Name_91042,[Pufferfish]
Item_Name_91043,[Red koi]
Item_Name_91044,[Gold koi]
Item_Name_91045,[Red sea bream]
Item_Name_91046,[Tuna]
Item_Name_91047,[Giant crucian carp]
Item_Name_91048,[Black bream]
Item_Name_91050,「Placeholder」
Item_Name_91051,「Placeholder」
Item_Name_91052,「Placeholder」
Item_Name_91053,「Placeholder」
Item_Name_91054,「Placeholder」
Item_Name_91055,「Placeholder」
Item_Name_91056,「Placeholder」
Item_Name_91057,「Placeholder」
Item_Name_91058,「Placeholder」
Item_Name_91059,「Placeholder」
Item_Name_91060,「Placeholder」
Item_Name_91061,「Placeholder」
Item_Name_91062,「Placeholder」
Item_Name_91064,「Serpent Ganoderma」
Item_Name_91065,「Placeholder」
Item_Name_91066,「Iron Crate」
Item_Name_91067,「Smoke Grenade」
Item_Name_91069,「Placeholder」
Item_Name_91070,「Placeholder」
Item_Name_91071,「Placeholder」
Item_Name_91072,「Placeholder」
Item_Name_91073,「Placeholder」
Item_Name_91074,「Placeholder」
Item_Name_91075,「Placeholder」
Item_Name_91076,「Placeholder」
Item_Name_91077,「Placeholder」
Item_Name_91078,「Placeholder」
Item_Name_91079,「Bonfire」
Item_Name_92000,「Qinggong Veteran」
Item_Name_92008,「Leechcraft:Sage」
Item_Name_93000,「{0}’s Head」
Item_Name_93001,「Key:{0}{1}」
Item_Name_93002,「Horse Certificate」
Item_Name_93003,「Treasure Map」
Item_Name_93006,「Property Ownership Certificate:{0}」
Item_Name_93007,「Midnight Robes」
Item_Name_93008,「Fortune Jade」
Item_Name_93009,[Martial arts experience]
Item_Name_93010,[{0}'s relic]
Item_Name_93011,Secret Message
Item_Name_92002,「Causal Palm」
Item_Name_92003,「Toxin-casting Spell」
Item_Name_92005,「Beast Wave」
Item_Name_92006,「Tortoise Fist」
Item_Name_92007,「Extermination」
Item_Name_92001,「Art of Marrow Refining」
Item_Name_92004,「Yi Jin Jing」
Item_Name_94000,「Breathing Skill」
Item_Name_94001,「Freeze Spell」
Item_Name_94002,「Heart-burning Spell」
Item_Name_94003,「Drunken Immortal」
Item_Name_94004,「Poison Proof Spell」
Item_Name_94005,「Art of Heartflame」
Item_Name_94006,「Tranquility Spell」
Item_Name_94007,「Millibeast Spell」
Item_Name_94008,「Dragonform」
Item_Name_94009,「Art of Five Senses」
Item_Name_94010,「Art of Soul Deprivation」
Item_Name_94011,「Art of Drunkness」
Item_Name_94012,「Art of Harmony」
Item_Name_94013,「Art of Hellish Breathing」
Item_Name_94014,「Golden Acupuncture」
